Geography,ES-over16,ES-over16-iLF,ES-over16-iLF-CIV,ES-over16-iLF-CIV-E,ES-over16-iLF-CIV-UE,ES-over16-iLF-AF,ES-over16-oLF,ES-over16-F-iLF,ES-over16-F-iLF-CIV,ES-over16-F-iLF-CIV-E,CTW-over16,CTW-over16-CTV-alone,OCC-over16-iLF-CIV-E-mgmt_biz_sci_arts,OCC-over16-iLF-CIV-E-prod_trans_materials,IND-over16-iLF-CIV-E - Manufacturing,COW-over16-iLF-CIV-E-private_emp,COW-over16-iLF-CIV-E-govt,INC - Total households,INC - Wage.Earner.Count,INC - Social.Security.Recip.Cnt,INC - Food.Stamp.Cnt,INC - Families,INC - NonFam,HIC-Civilian.NIP,HIC-Civilian.NIP-Covered,HIC-Civilian.NIP-Covered-Private,HIC-Civilian.NIP-Covered-Public,HIC-Civilian.NIP-Uninsured,HIC-Civilian.NIP <Age19,HIC-Civilian.NIP Age19-64,HIC-Civilian.NIP Age19-64-iLF,HIC-Civilian.NIP Age19-64-iLF-E,HIC-Civilian.NIP Age19-64-iLF-E-Covered,HIC-Civilian.NIP Age19-64-iLF-E-Covered-Private,HIC-Civilian.NIP Age19-64-iLF-E-Uninsured,HIC-Civilian.NIP Age19-64-iLF-UE,HIC-Civilian.NIP Age19-64-iLF-UE-Covered,HIC-Civilian.NIP Age19-64-iLF-UE-Uninsured,HIC-Civilian.NIP Age19-64-oLF,HIC-Civilian.NIP Age19-64-oLF-Covered,above_average_median,above_weighted_median,modal_income
"Billings County, North Dakota",785,0.659872611,0.659872611,0.634394904,0.025477707,0,0.340127389,0.401544402,0.401544402,0.413654618,0.936293436,0.655670103,0.34939759,0.178714859,0.036144578,0.678714859,0.186746988,401,0.783042394,0.306733167,0.009975062,291,110,983,0.953204476,0.854526958,0.258392675,0.046795524,224,579,0.829015544,0.797927461,0.935064935,0.913419913,0.064935065,0.031088083,1,0,0.170984456,83,1,1,8
"Bottineau County, North Dakota",5454,0.630546388,0.622295563,0.601943528,0.020352035,0.008250825,0.369453612,0.41291073,0.413376547,0.412427658,0.956393636,0.759704251,0.368260737,0.108132805,0.038074931,0.655193421,0.190070058,3096,0.810077519,0.3375323,0.073966408,1898,1198,6483,0.940922412,0.813512263,0.301403671,0.059077588,1415,3703,0.790440184,0.770186335,0.898667602,0.87026648,0.101332398,0.020253848,0.813333333,0.186666667,0.209559816,722,1,0,6
"Bowman County, North Dakota",2555,0.714677104,0.714677104,0.702935421,0.011741683,0,0.285322896,0.481927711,0.481927711,0.483296214,0.946878423,0.77443609,0.367483296,0.125278396,0.0155902,0.724944321,0.119153675,1432,0.792597765,0.302374302,0.055865922,930,502,3165,0.938704581,0.854344392,0.252132701,0.061295419,772,1811,0.8713418,0.854776367,0.921834625,0.895994832,0.078165375,0.016565433,0.733333333,0.266666667,0.1286582,193,1,1,8
"Burke County, North Dakota",1683,0.689839572,0.688651218,0.670825906,0.017825312,0.001188354,0.310160428,0.396210164,0.396893874,0.3914969,0.962036238,0.731838565,0.351638618,0.127546501,0.019486271,0.711248893,0.1744907,950,0.803157895,0.275789474,0.051578947,587,363,2251,0.912483341,0.845402044,0.206574856,0.087516659,648,1258,0.847376789,0.825914149,0.936477382,0.923002887,0.063522618,0.021462639,0.518518519,0.481481481,0.152623211,157,1,1,8
"Burleigh County, North Dakota",73158,0.717324148,0.713100413,0.70025151,0.012848902,0.004223735,0.282675852,0.480734784,0.482278748,0.483749439,0.962468132,0.849554878,0.396474653,0.094126374,0.042124578,0.770813406,0.17839505,38901,0.823860569,0.263515077,0.053006349,24134,14767,90369,0.936659695,0.830694154,0.238931492,0.063340305,22226,55087,0.864868299,0.85136239,0.933793898,0.903622679,0.066206102,0.013505909,0.669354839,0.330645161,0.135131701,6492,1,1,6
"Cass County, North Dakota",136469,0.754610937,0.751848405,0.731587393,0.020261012,0.002762532,0.245389063,0.472048242,0.473519551,0.475896193,0.961892324,0.830060591,0.387213414,0.119542463,0.091787778,0.839671872,0.119081722,73039,0.86492148,0.214255398,0.082668164,40853,32186,169233,0.931343178,0.822552339,0.224146591,0.068656822,40442,110761,0.86568377,0.842941107,0.924811225,0.88068334,0.075188775,0.022742662,0.700674871,0.299325129,0.13431623,13237,1,0,6
"Cavalier County, North Dakota",3111,0.62777242,0.62777242,0.619414979,0.008357441,0,0.37222758,0.401945725,0.401945725,0.401660612,0.949820789,0.831266846,0.393876492,0.145303581,0.028022833,0.66424494,0.125583809,1787,0.811415781,0.385562395,0.025181869,1116,671,3719,0.953482119,0.864210809,0.317289594,0.046517881,807,1983,0.81896117,0.807362582,0.933166771,0.916302311,0.066833229,0.011598588,0.652173913,0.347826087,0.18103883,327,1,1,6
"Dickey County, North Dakota",4076,0.669774289,0.669774289,0.652109912,0.017664377,0,0.330225711,0.461904762,0.461904762,0.452219714,0.940659341,0.732476636,0.328442438,0.126787058,0.115876599,0.742287434,0.109857035,2192,0.804744526,0.325729927,0.036040146,1428,764,4902,0.947776418,0.861893105,0.248266014,0.052223582,1137,2825,0.874336283,0.851327434,0.925987526,0.906444906,0.074012474,0.02300885,0.923076923,0.076923077,0.125663717,344,1,0,6
"Divide County, North Dakota",1968,0.625,0.625,0.610264228,0.014735772,0,0.375,0.468292683,0.468292683,0.458784346,0.96504065,0.670598147,0.35970025,0.108243131,0.043297252,0.622814321,0.07826811,1053,0.745489079,0.347578348,0.026590693,615,438,2295,0.948583878,0.832244009,0.323311547,0.051416122,442,1294,0.809119011,0.786707883,0.918467583,0.859528487,0.081532417,0.022411128,1,0,0.190880989,216,1,0,6
"Dunn County, North Dakota",3499,0.61617605,0.61617605,0.594455559,0.021720492,0,0.38382395,0.419758813,0.419758813,0.425961538,0.952226345,0.703848027,0.344711538,0.200961538,0.064423077,0.684615385,0.166826923,1601,0.817613991,0.313554029,0.043722673,1149,452,4295,0.815832363,0.663562282,0.275436554,0.184167637,1069,2579,0.742923614,0.726250485,0.809930593,0.782167645,0.190069407,0.016673129,0.674418605,0.325581395,0.257076386,528,1,1,6
"Eddy County, North Dakota",1862,0.643931257,0.643931257,0.633727175,0.010204082,0,0.356068743,0.454545455,0.454545455,0.455084746,0.972477064,0.684391081,0.395762712,0.110169492,0.066949153,0.569491525,0.209322034,1048,0.799618321,0.341603053,0.089694656,615,433,2248,0.908807829,0.728647687,0.355427046,0.091192171,548,1266,0.841232227,0.826224329,0.863288719,0.816443595,0.136711281,0.015007899,0.947368421,0.052631579,0.158767773,178,1,0,6
"Emmons County, North Dakota",2802,0.55531763,0.55531763,0.545324768,0.009992862,0,0.44468237,0.480077121,0.480077121,0.478403141,0.926092545,0.677307425,0.413612565,0.072643979,0.009162304,0.601439791,0.159685864,1565,0.671565495,0.470926518,0.077955272,964,601,3334,0.937312537,0.833233353,0.341931614,0.062687463,705,1705,0.814662757,0.798240469,0.889052168,0.856722998,0.110947832,0.016422287,0.607142857,0.392857143,0.185337243,281,0,0,6
"Foster County, North Dakota",2689,0.665303087,0.665303087,0.657865377,0.007437709,0,0.334696913,0.441587479,0.441587479,0.436404748,0.982112912,0.811041548,0.373657434,0.147540984,0.139061617,0.661955907,0.145279819,1502,0.806924101,0.320905459,0.055925433,1006,496,3243,0.946654332,0.847671909,0.268886833,0.053345668,724,1857,0.872374798,0.861604739,0.949375,0.9225,0.050625,0.010770059,0.1,0.9,0.127625202,230,1,0,6
"Golden Valley County, North Dakota",1491,0.684775319,0.684775319,0.678739101,0.006036217,0,0.315224681,0.479921645,0.479921645,0.475296443,0.971596474,0.690524194,0.317193676,0.08201581,0.009881423,0.708498024,0.15513834,863,0.777520278,0.318655852,0.049826188,426,437,1836,0.848583878,0.712962963,0.297930283,0.151416122,451,1006,0.86083499,0.851888668,0.827304551,0.809801634,0.172695449,0.008946322,1,0,0.13916501,112,0,0,6
"Grand Forks County, North Dakota",57191,0.724239828,0.697504852,0.671207008,0.026297844,0.026734976,0.275760172,0.451834862,0.462359931,0.464662516,0.967361059,0.820492887,0.354989971,0.102143955,0.055852242,0.745122047,0.213353479,29716,0.831437609,0.215439494,0.089009288,16098,13618,67954,0.928319157,0.80383789,0.233908232,0.071680843,15701,44639,0.823114317,0.794708663,0.918083157,0.874503171,0.081916843,0.028405654,0.773659306,0.226340694,0.176885683,7321,1,0,6
"Grant County, North Dakota",1983,0.598587998,0.598587998,0.583963691,0.014624307,0,0.401412002,0.442291491,0.442291491,0.444732297,0.964616681,0.6069869,0.495682211,0.124352332,0.042314335,0.530224525,0.137305699,1110,0.71981982,0.40990991,0.045045045,655,455,2338,0.937553464,0.805816938,0.357142857,0.062446536,511,1213,0.821929101,0.798845837,0.922600619,0.880288958,0.077399381,0.023083265,0.75,0.25,0.178070899,183,1,0,6
"Griggs County, North Dakota",1881,0.646996279,0.646996279,0.62732589,0.019670388,0,0.353003721,0.447822514,0.447822514,0.460169492,0.94494659,0.743478261,0.355932203,0.111864407,0.103389831,0.727966102,0.125423729,1039,0.792107796,0.402309913,0.065447546,657,382,2179,0.932996788,0.810922441,0.357503442,0.067003212,474,1125,0.878222222,0.850666667,0.890282132,0.858934169,0.109717868,0.027555556,0.419354839,0.580645161,0.121777778,127,1,0,5
"Hettinger County, North Dakota",2078,0.580846968,0.580846968,0.568334937,0.012512031,0,0.419153032,0.45981773,0.45981773,0.457239627,0.970173985,0.783091375,0.361558002,0.081287045,0.027095682,0.653683319,0.16257409,1078,0.735621521,0.428571429,0.060296846,732,346,2439,0.931529315,0.802378024,0.365723657,0.068470685,575,1251,0.820143885,0.81215028,0.916338583,0.886811024,0.083661417,0.007993605,0.6,0.4,0.179856115,173,1,0,6
"Kidder County, North Dakota",2008,0.645916335,0.643924303,0.635458167,0.008466135,0.001992032,0.354083665,0.424055513,0.425367363,0.427115987,0.979118329,0.572669826,0.376175549,0.090909091,0.034482759,0.648119122,0.159874608,1053,0.775878443,0.37037037,0.037037037,780,273,2453,0.863840196,0.740725642,0.29841011,0.136159804,554,1410,0.809929078,0.79787234,0.862222222,0.819555556,0.137777778,0.012056738,0.470588235,0.529411765,0.190070922,241,1,1,6
